`,Text (Arabic Sentence),Category,Annotator 1 (Joy/Anger/Sadness/Fear/Surprise/Disgust),Annotator 2 (Joy/Anger/Sadness/Fear/Surprise/Disgust),Final Gold Reference,source,Dialect,Arabic Glod refrence
45,تَفَجَّرَ فِي صَدْرِي لَهِيبٌ مُسَعَّرٌ ... فَكَادَ مِنْ فَوْرَاتِ غَيْظِي يُقْهَرُ الحَجَرْ     إِذَا مَا اسْتُفِزَّ الحُرُّ هَبَّ كَأَنَّهُ ... رِيَاحُ هَلَاكٍ لَا تُبَالِي مَنْ تَذَرْ,Classical Arabic,,Anger,Anger,Generated by chat GPT,,غضب
46,قَذَرٌ تَمَشَّى فِي ثِيَابِ تَنَسُّكٍ ... تَعَافُهُ نَفْسِي وَيَلْفِظُهُ البَصَر لَوْ غُسِّلَ المَرْءُ اللَّئِيمُ بِأَبْحُرٍ ... لَبَقَى عَلَى وَجْهِ المِيَاهِ لَهُ أَثَر,Classical Arabic,,Disgust,Disgust,Generated by gemini,,اشمئزاز
47,إِنْ جَالَ فِي قَوْمٍ تَنَفَّسَ كُلُّهُمْ ... ضِيقًا، كَأَنَّ الهَوْءَ مِنْ عَفَنٍ عَكِرْ,Classical Arabic,,Disgust,Disgust,Generated by chat GPT,,اشمئزاز
48,أَتَانَا البِشْرُ يَسْعَى فِي رِدَاءٍ ... مِنَ النُّورِ المُبِينِ وَقَدْ تَجَلَّى فَكَادَ القَلْبُ مِنْ فَرَحٍ يَطِيرُ ... وَعَنْ وَجْهِ الزَّمَانِ الهَمُّ وَلَّى,Classical Arabic,,Joy,Joy,Generated by gemini,,فرح
49,تَهَلَّلَ فَجْرُ أَيَّامِي سُرُورًا ... وَرَفَّ عَلَى المَدَى لَحْنُ المُنَى     فَلَمَّا جَاءَنِي الخَبَرُ المُبَشِّرُ ... رَأَيْتُ الكَوْنَ يَزْهُو بِالهَنَا,Classical Arabic,,Joy,Joy,Generated by chat GPT,,فرح
50,طَرَقْتَ بِأَمْرٍ لَمْ يَكُنْ فِي الحُسْبَانِ ... كَبَرْقٍ سَرَى فِي صَحْوَةِ الفَجْرِ حَانِي وَقَفْتُ مَشْدُوهاً أُكَذِّبُ نَاظِرِي ... أَحَقٌّ مَا أَرَى أَمْ طَيْفُ جَانِ؟,Classical Arabic,,Surprise,Surprise,Generated by gemini,,اندهاش
51,أَأَنْتَ حَقًّا؟ أَمْ خَيَالٌ زَائِرٌ ... أَرْبَكَ الفُؤَادَ وَزَلْزَلَ الأَوْهَامَا؟         مَا كِدْتُ أُبْصِرُ حَتَّى طَارَ مُنْدَهِشًا ... عَقْلِي، وَخِلْتُ الكَوْنَ قَدْ هَوَى قِيَامَا,Classical Arabic,,Surprise,Surprise,Generated by chat GPT,,اندهاش
52,أَجابَ دَمعي وَما الداعي سِوى طَلَلِ ... دَعا فَلَبّاهُ قَبلَ الرَكبِ وَالإِبِلِ,Classical Arabic,,Sadness,Sadness,https://www.aldiwan.net/poem9943.html,,اندهاش
53,طَلَلٌ وَقَفتُ عَلى رباه نائِحاً    غَربَ المَدامِع مِثلَ فَيضِ غَمامِ,Classical Arabic,,Sadness,Sadness,https://www.aldiwan.net/poem71956.html,,اندهاش
54,فَيَا عَجَباً مِنْ كورها المُتَحَمَّلِ,Classical Arabic,,Surprise,Surprise,https://www.aldiwan.net/poem50.html,,اندهاش
55,عَجِبَت عُبَيلَةُ مِن فَتىً مُتَبَذِّلِ      عاري الأَشاجِعِ شاحِبٍ كَالمُنصُلِ,Classical Arabic,,Surprise,Surprise,https://www.aldiwan.net/poem108.html,,اندهاش
56,يقضي ليالٍ بين ظلم وظلمة        طريد الكرى في جوف أغبر مطبق,Classical Arabic,,Fear,Fear,https://www.aldiwan.net/poem135313.html,,خوف
57,وتركت أنْتَنْ ريحة مَدْمومَة,Classical Arabic,,Disgust,Disgust,شرح الواحدي لديوان المتنبي,,اشمئزاز
58,أصبَح حَسَاذهُ وانفسم يَجْدِرُها خَوْفَُهُ ويُصعِدهَا,Classical Arabic,,Fear,Fear,شرح الواحدي لديوان المتنبي,,خوف
59,جمَدَت نَفُوسُهُم فلمًا جئتها أَجْرَيْتها وسَقَيْتها الفولاذ,Classical Arabic,,Fear,Fear,شرح الواحدي لديوان المتنبي,,خوف
60,يتلون الخريت من خوف التوى   فيه كما يتلون الحرباء,Classical Arabic,,Fear,Fear,شرح الواحدي لديوان المتنبي,,خوف
61,أخافُ إذا أشارَ براحتَيه   لِعِلمي أنَّ رُوحي في يَدَيه,Classical Arabic,,Fear,Fear,https://www.aldiwan.net/poem52973.html,,خوف
62,يَخفِقُ عِندَ نَظْرتهِ فُؤَادي    لأَنَّ سَوادَهُ من مُقلتَيهِ,Classical Arabic,,Fear,Fear,https://www.aldiwan.net/poem52973.html,,خوف
63,للاسف المقاس طلع كبير والخامه بتاعته ما كانتش حلوه,Arabic Dialect,,Sadness,Sadness,Amazon comments,egtptian,حزن
64,الريحة هنا صعبة قوي,Arabic Dialect,,Disgust,Disgust,A team member,egtptian,اشمئزاز
65,بحب الوقت دا قوى الجو بيبقى تحفه,Arabic Dialect,,Joy,Joy,twitter,egtptian,فرح
66,يعع ، بتاكلوا الحاجات دي ازاي,Arabic Dialect,,Disgust,Disgust,A team member,egtptian,اشمئزاز
67,النهارده الجو جميل والشمس طالعة والريحة حلوة قوي.,Arabic Dialect,,Joy,Joy,DSP project dataset,egtptian,فرح
68,مفيش مية في الشقة من الصبح وأنا متضايق جدًا.,Arabic Dialect,,Anger,Anger,DSP project dataset,egtptian,غضب
69,الناس كلها زعلانة عشان الماتش اتلغى في آخر لحظة.,Arabic Dialect,,Sadness,Sadness,DSP project dataset,egtptian,حزن
70,القطر وصل متأخر خمس ساعات والناس كانت مستنية على الرصيف.,Arabic Dialect,,Anger,Anger,DSP project dataset,egtptian,غضب
71,انا بكره ان حد يفرض رأيه من غير ما يتناقش,Arabic Dialect,,Anger,Anger,A team member,egtptian,غضب
72,ايه الجمال دا ،  ازاي قدروا يبنوا فندق بالحجم دا,Arabic Dialect,,Surprise,Surprise,A team member,egtptian,اندهاش
73,مش هقدر أكل الأكل دا شفت دبانة وقفت عليه,Arabic Dialect,,Disgust,Disgust,A team member,egtptian,اشمئزاز
74,أنا خايفة و مرعوبة من المستقبل بسبب شدة الخيبات في الماضي,Arabic Dialect,,Fear,Fear,twitter,egtptian,خوف
75,أنا مرعوب من مناقشة المشروع,Arabic Dialect,,Fear,Fear,A team member,egtptian,خوف
76,ربنا يستر الناس مش حمل حاجة خالص,Arabic Dialect,,Fear,Fear,A team member,egtptian,خوف
77,مش مصدق انك سافرت مخصوص,Arabic Dialect,,Surprise,Surprise,A team member,egtptian,اندهاش
78,صراحة المنظر يقرف وما ينطاق,Arabic Dialect,,Disgust,Disgust,Generated by chat GPT,egtptian,اشمئزاز
79,السيارة خربت أمس واضطريت أوديها الورشة للإصلاح.,Arabic Dialect,,Sadness,Sadness,DSP project dataset,Saudi,حزن
80,نحب نسافر في الشتاء للجنوب عشان الأجواء الباردة الجميلة.,Arabic Dialect,,Joy,Joy,DSP project dataset,Saudi,فرح
81,كارهه نفسي وكل شي مو جالس يصير بالشكل الصحيح,Arabic Dialect,,Anger,Anger,https://www.kaggle.com/datasets/ccsitai/text-dataset-in-arabic-for-emotion-recognition,Saudi,غضب
82,انجزت شىء كبيييرررر اليوم و احس بالانجاز و القوه و الفخر,Arabic Dialect,,Joy,Joy,DSP project dataset,Saudi,فرح
83,معقول أنت اللي عملت هالشي   لهلأ مو مستوعب,Arabic Dialect,,Surprise,Surprise,Generated by chat GPT,Levantine,اندهاش
84,ييي شو هالريحة المقرفة؟ عنجد نفسي انسدت,Arabic Dialect,,Disgust,Disgust,Generated by chat GPT,Levantine,اشمئزاز
85,والله لما سمعت الخبر، قلبي صار يرقص من الفرحة وما قدرت أبطل أضحك,Arabic Dialect,,Joy,Joy,Generated by chat GPT,Levantine,فرح
86,اليوم الجو كتير حلو، والشمس طالعة بعد يومين مطر متواصل.,Arabic Dialect,,Joy,Joy,DSP project dataset,Levantine,فرح
87,كان عندي امتحان صعب، بس الحمد لله حليت منيح.,Arabic Dialect,,Joy,Joy,DSP project dataset,Levantine,فرح
88,الكهربا قطعت بالليل واضطرينا نشغل الشموع.,Arabic Dialect,,Sadness,Sadness,DSP project dataset,Levantine,حزن
89,من يوم ما سافر، والبيت حاسّه فاضي وكأنه ناقصه روح,Arabic Dialect,,Sadness,Sadness,Generated by chat GPT,Levantine,حزن
90,كيلبسوك سير تسوق طيح ولا ماطيحش ولا تكركب ولا يهرب لك العاود ذاك الشي كامل ماكيعرفوش هما,Arabic Dialect,,Anger,Anger,https://www.youtube.com/watch?v=Mor_KyjEyN8,Moroccan,غضب
91,الجو اليوم زوين والشمس دافئة والناس كيتسارا فالحومة.,Arabic Dialect,,Joy,Joy,DSP project dataset,Moroccan,فرح
92,الما مقطوع من الصباح، ما عرفناش علاش بالضبط.,Arabic Dialect,,Sadness,Sadness,DSP project dataset,Moroccan,حزن
93,كتجي يا خويا البرد الناس مكرفصة,Arabic Dialect,Sadness,Sadness,Sadness,https://data.mendeley.com/datasets/yzsw3ff6rn/1,Moroccan,حزن
94,كتنزل القطرة على الناس وقت الشتا كيجي البرد الناس عاوتيني كتعاني ودراري,Arabic Dialect,Sadness,Sadness,Sadness,https://data.mendeley.com/datasets/yzsw3ff6rn/1,Moroccan,حزن
95,الفيلم ديال  مون بيغ نيبا موغت ديال المخرج هادي الفضلي الحمد لله,Arabic Dialect,Joy,Joy,Joy,https://data.mendeley.com/datasets/yzsw3ff6rn/1,Moroccan,فرح
96,اهاه هادي انا فرحان لأن اول مرة غنشوف هاد الفيلم فأكيد مهرجان قوي عند,Arabic Dialect,Joy,Joy,Joy,https://data.mendeley.com/datasets/yzsw3ff6rn/1,Moroccan,فرح
97,عسى ماشر فيران تجارب احناا ؟؟؟؟ خلاص ثنتين تكفي,Arabic Dialect,Anger,Anger,Anger,https://huggingface.co/datasets/asas-ai/ArPanEmo,Moroccan,غضب
98,انا خايف من جرعه يقول تسبب عقم,Arabic Dialect,Fear,Fear,Fear,https://huggingface.co/datasets/asas-ai/ArPanEmo,Moroccan,خوف
99,شكرا لكم الف الشكر الجزيل للكرام والتوجهيه للصحة والسلامه يارب يحفظكم,Arabic Dialect,Joy,Joy,Joy,https://huggingface.co/datasets/asas-ai/ArPanEmo,Moroccan,فرح
100,تصور ديك الكلبه كتسناني عارفه ديك الخميس كتسناني ا فوا كنخرج كنهبط انا ويا من الجامع,Arabic Dialect,,Surprise,Surprise,https://www.youtube.com/watch?v=Mor_KyjEyN8,Moroccan,اندهاش
