Strategy,text,arabic_label,jais_output
Zero-Shot,أَتَانَا البِشْرُ يَسْعَى فِي رِدَاءٍ ... مِنَ النُّورِ المُبِينِ وَقَدْ تَجَلَّى فَكَادَ القَلْبُ مِنْ فَرَحٍ يَطِيرُ ... وَعَنْ وَجْهِ الزَّمَانِ الهَمُّ وَلَّى,فرح,
Zero-Shot,طَرَقْتَ بِأَمْرٍ لَمْ يَكُنْ فِي الحُسْبَانِ ... كَبَرْقٍ سَرَى فِي صَحْوَةِ الفَجْرِ حَانِي وَقَفْتُ مَشْدُوهاً أُكَذِّبُ نَاظِرِي ... أَحَقٌّ مَا أَرَى أَمْ طَيْفُ جَانِ؟,اندهاش,
Zero-Shot,أَأَنْتَ حَقًّا؟ أَمْ خَيَالٌ زَائِرٌ ... أَرْبَكَ الفُؤَادَ وَزَلْزَلَ الأَوْهَامَا؟         مَا كِدْتُ أُبْصِرُ حَتَّى طَارَ مُنْدَهِشًا ... عَقْلِي، وَخِلْتُ الكَوْنَ قَدْ هَوَى قِيَامَا,اندهاش,مفاجأة
Zero-Shot,أَجابَ دَمعي وَما الداعي سِوى طَلَلِ ... دَعا فَلَبّاهُ قَبلَ الرَكبِ وَالإِبِلِ,اندهاش,حزن
Zero-Shot,طَلَلٌ وَقَفتُ عَلى رباه نائِحاً    غَربَ المَدامِع مِثلَ فَيضِ غَمامِ,اندهاش,حزن
Zero-Shot,فَيَا عَجَباً مِنْ كورها المُتَحَمَّلِ,اندهاش,مفاجأة
Zero-Shot,عَجِبَت عُبَيلَةُ مِن فَتىً مُتَبَذِّلِ      عاري الأَشاجِعِ شاحِبٍ كَالمُنصُلِ,اندهاش,
Zero-Shot,يقضي ليالٍ بين ظلم وظلمة        طريد الكرى في جوف أغبر مطبق,خوف,حزن
Zero-Shot,جمَدَت نَفُوسُهُم فلمًا جئتها أَجْرَيْتها وسَقَيْتها الفولاذ,خوف,حزن
Zero-Shot,يَخفِقُ عِندَ نَظْرتهِ فُؤَادي    لأَنَّ سَوادَهُ من مُقلتَيهِ,خوف,فرح
Zero-Shot,مفيش مية في الشقة من الصبح وأنا متضايق جدًا.,غضب,حزن
Zero-Shot,القطر وصل متأخر خمس ساعات والناس كانت مستنية على الرصيف.,غضب,حزن
Zero-Shot,ايه الجمال دا ،  ازاي قدروا يبنوا فندق بالحجم دا,اندهاش,فرح
Zero-Shot,مش مصدق انك سافرت مخصوص,اندهاش,مفاجأة
Zero-Shot,كارهه نفسي وكل شي مو جالس يصير بالشكل الصحيح,غضب,حزن
Zero-Shot,معقول أنت اللي عملت هالشي   لهلأ مو مستوعب,اندهاش,خوف
Zero-Shot,كيلبسوك سير تسوق طيح ولا ماطيحش ولا تكركب ولا يهرب لك العاود ذاك الشي كامل ماكيعرفوش هما,غضب,خوف
Zero-Shot,عسى ماشر فيران تجارب احناا ؟؟؟؟ خلاص ثنتين تكفي,غضب,خوف
Zero-Shot,تصور ديك الكلبه كتسناني عارفه ديك الخميس كتسناني ا فوا كنخرج كنهبط انا ويا من الجامع,اندهاش,حزن
Few-Shot,كتاب رائع . من أين حصلت عليه يانجيب,اندهاش,فرح
Few-Shot,روايه مملة لم استطع اكمالها بسبب رتابة الاحداث,غضب,حزن
Few-Shot,رواية بوليسية مكتوبة بحرفية عالية,فرح,مفاجأة
Few-Shot,اكره الإضاءة الساطعة فهي تجعلني اتعب كثيرا,غضب,اشمئزاز
Few-Shot,لقد دمروا حياتي ولا أستطيع الحصول على وظيفة,غضب,حزن
Few-Shot,لقد دمروا بلدي العراق، وقتلوا وأذلوا شعبي.,غضب,حزن
Few-Shot,سبحان الله كيف اخضرت المنطقة. أنا في هذا المكان منذ خمسةَ عشرَ سنةً,اندهاش,فرح
Few-Shot,فى كل يوم كنت أخشى أن أفتح هاتفى وأن أرى أسماء جديدة من أصدقائى ومعارفى وأقاربى من الشهداء,خوف,حزن
Few-Shot,كنت أسير بجانب الطريق ففاجأتني سيارة تتحرك بسرعة و أفزعتني,اندهاش,خوف
Few-Shot,وفجأةً، انفتح الباب الذي ظلّ مغلقاً لقرون، ليخرج منه ضوءٌ ساطعٌ لم يسبق لبشرٍ أن رآه,اندهاش,مفاجأة
Few-Shot,أحكمتُ قبضتي بشدة حتى ابيضّت مفاصلي، وحاولتُ كتمان صرخةٍ مكتومة كادت أن تنفجر من شدة القهر والظلم,غضب,قهر
Few-Shot,أحكمتُ قبضتي بشدة حتى ابيضّت مفاصلي، وحاولتُ كتمان صرخةٍ مكتومة كادت أن تنفجر من شدة القهر والظلم,فرح,قهر
Few-Shot,وخائفٍ جَمِّ الحِذارِ مُرْملِ. أشعثَ عجلانَ صدوفِ المَنْهلِ. ينغْضُه الخوفُ كنغض أفْكلِ,خوف,
Few-Shot,فَإِنَّكَ كَاللَيلِ الَّذي هُوَ مُدرِكي ... وَإِن خِلتُ أَنَّ المُنتَأى عَنكَ واسِعُ خَطاطيفُ حُجْنٌ في حِبالٍ مَتِينَةٍ ... تَمُدُّ بِها أَيْدٍ إِلَيْكَ نَوازِعُ,خوف,اشتياق
Few-Shot,نَجُذُّ رُؤُوسَهُمْ فِي غَيْرِ بِرٍّ ... فَمَا يَدْرُونَ مَاذَا يَتَّقُونَا بِأَنَّا نُورِدُ الرَّايَاتِ بِيضاً ... وَنُصْدِرُهُنَّ حُمْراً قَدْ رَوِينَا,غضب,اشمئزاز
Few-Shot,يَفُورُ الدَّمُ الغَضْبَانُ بَيْنَ جَوَانِحِي ... كَمَا فَارَ تَنُّورٌ بِنَارٍ تَوَقَّدُ وَإِنِّي لَأَطْوِي الصَّدْرَ مِنْ شِدَّةِ اللَّظَى ... وَلَوْ بَاحَ سَيْفِي لَاسْتَحَالَ التَّجَلُّدُ,غضب,
Few-Shot,قَذَرٌ تَمَشَّى فِي ثِيَابِ تَنَسُّكٍ ... تَعَافُهُ نَفْسِي وَيَلْفِظُهُ البَصَر لَوْ غُسِّلَ المَرْءُ اللَّئِيمُ بِأَبْحُرٍ ... لَبَقَى عَلَى وَجْهِ المِيَاهِ لَهُ أَثَر,اشمئزاز,
Few-Shot,إِنْ جَالَ فِي قَوْمٍ تَنَفَّسَ كُلُّهُمْ ... ضِيقًا، كَأَنَّ الهَوْءَ مِنْ عَفَنٍ عَكِرْ,اشمئزاز,حزن
Few-Shot,أَتَانَا البِشْرُ يَسْعَى فِي رِدَاءٍ ... مِنَ النُّورِ المُبِينِ وَقَدْ تَجَلَّى فَكَادَ القَلْبُ مِنْ فَرَحٍ يَطِيرُ ... وَعَنْ وَجْهِ الزَّمَانِ الهَمُّ وَلَّى,فرح,
Few-Shot,طَرَقْتَ بِأَمْرٍ لَمْ يَكُنْ فِي الحُسْبَانِ ... كَبَرْقٍ سَرَى فِي صَحْوَةِ الفَجْرِ حَانِي وَقَفْتُ مَشْدُوهاً أُكَذِّبُ نَاظِرِي ... أَحَقٌّ مَا أَرَى أَمْ طَيْفُ جَانِ؟,اندهاش,
Few-Shot,أَأَنْتَ حَقًّا؟ أَمْ خَيَالٌ زَائِرٌ ... أَرْبَكَ الفُؤَادَ وَزَلْزَلَ الأَوْهَامَا؟         مَا كِدْتُ أُبْصِرُ حَتَّى طَارَ مُنْدَهِشًا ... عَقْلِي، وَخِلْتُ الكَوْنَ قَدْ هَوَى قِيَامَا,اندهاش,مفاجأة
Few-Shot,أَجابَ دَمعي وَما الداعي سِوى طَلَلِ ... دَعا فَلَبّاهُ قَبلَ الرَكبِ وَالإِبِلِ,اندهاش,حزن
Few-Shot,طَلَلٌ وَقَفتُ عَلى رباه نائِحاً    غَربَ المَدامِع مِثلَ فَيضِ غَمامِ,اندهاش,حزن
Few-Shot,فَيَا عَجَباً مِنْ كورها المُتَحَمَّلِ,اندهاش,مفاجأة
Few-Shot,عَجِبَت عُبَيلَةُ مِن فَتىً مُتَبَذِّلِ      عاري الأَشاجِعِ شاحِبٍ كَالمُنصُلِ,اندهاش,
Few-Shot,يقضي ليالٍ بين ظلم وظلمة        طريد الكرى في جوف أغبر مطبق,خوف,حزن
Few-Shot,جمَدَت نَفُوسُهُم فلمًا جئتها أَجْرَيْتها وسَقَيْتها الفولاذ,خوف,مفاجأة
Few-Shot,يَخفِقُ عِندَ نَظْرتهِ فُؤَادي    لأَنَّ سَوادَهُ من مُقلتَيهِ,خوف,فرح
Few-Shot,القطر وصل متأخر خمس ساعات والناس كانت مستنية على الرصيف.,غضب,اشمئزاز
Few-Shot,ايه الجمال دا ،  ازاي قدروا يبنوا فندق بالحجم دا,اندهاش,فرح
Few-Shot,مش مصدق انك سافرت مخصوص,اندهاش,مفاجأة
Few-Shot,كارهه نفسي وكل شي مو جالس يصير بالشكل الصحيح,غضب,اشمئزاز
Few-Shot,معقول أنت اللي عملت هالشي   لهلأ مو مستوعب,اندهاش,مفاجأة
Few-Shot,تصور ديك الكلبه كتسناني عارفه ديك الخميس كتسناني ا فوا كنخرج كنهبط انا ويا من الجامع,اندهاش,غضب
