Strategy,text,arabic_label,gemini_output
Zero-Shot,تصور ديك الكلبه كتسناني عارفه ديك الخميس كتسناني ا فوا كنخرج كنهبط انا ويا من الجامع,اندهاش,فرح
Few-Shot,كتاب رائع . من أين حصلت عليه يانجيب,اندهاش,مفاجأة
Few-Shot,روايه مملة لم استطع اكمالها بسبب رتابة الاحداث,غضب,اشمئزاز
Few-Shot,اكره الإضاءة الساطعة فهي تجعلني اتعب كثيرا,غضب,اشمئزاز
Few-Shot,أكره حياة المدن بسبب الضجيج و انبعاثات السيارات و الازدحامات,غضب,اشمئزاز
Few-Shot,لقد دمروا حياتي ولا أستطيع الحصول على وظيفة,غضب,حزن
Few-Shot,لقد دمروا بلدي العراق، وقتلوا وأذلوا شعبي.,غضب,حزن
Few-Shot,سبحان الله كيف اخضرت المنطقة. أنا في هذا المكان منذ خمسةَ عشرَ سنةً,اندهاش,مفاجأة
Few-Shot,كنت أسير بجانب الطريق ففاجأتني سيارة تتحرك بسرعة و أفزعتني,اندهاش,خوف
Few-Shot,وفجأةً، انفتح الباب الذي ظلّ مغلقاً لقرون، ليخرج منه ضوءٌ ساطعٌ لم يسبق لبشرٍ أن رآه,اندهاش,مفاجأة
Few-Shot,أحكمتُ قبضتي بشدة حتى ابيضّت مفاصلي، وحاولتُ كتمان صرخةٍ مكتومة كادت أن تنفجر من شدة القهر والظلم,فرح,غضب
Few-Shot,طَرَقْتَ بِأَمْرٍ لَمْ يَكُنْ فِي الحُسْبَانِ ... كَبَرْقٍ سَرَى فِي صَحْوَةِ الفَجْرِ حَانِي وَقَفْتُ مَشْدُوهاً أُكَذِّبُ نَاظِرِي ... أَحَقٌّ مَا أَرَى أَمْ طَيْفُ جَانِ؟,اندهاش,مفاجأة
Few-Shot,أَأَنْتَ حَقًّا؟ أَمْ خَيَالٌ زَائِرٌ ... أَرْبَكَ الفُؤَادَ وَزَلْزَلَ الأَوْهَامَا؟         مَا كِدْتُ أُبْصِرُ حَتَّى طَارَ مُنْدَهِشًا ... عَقْلِي، وَخِلْتُ الكَوْنَ قَدْ هَوَى قِيَامَا,اندهاش,مفاجأة
Few-Shot,أَجابَ دَمعي وَما الداعي سِوى طَلَلِ ... دَعا فَلَبّاهُ قَبلَ الرَكبِ وَالإِبِلِ,اندهاش,حزن
Few-Shot,طَلَلٌ وَقَفتُ عَلى رباه نائِحاً    غَربَ المَدامِع مِثلَ فَيضِ غَمامِ,اندهاش,حزن
Few-Shot,فَيَا عَجَباً مِنْ كورها المُتَحَمَّلِ,اندهاش,مفاجأة
Few-Shot,عَجِبَت عُبَيلَةُ مِن فَتىً مُتَبَذِّلِ      عاري الأَشاجِعِ شاحِبٍ كَالمُنصُلِ,اندهاش,مفاجأة
Few-Shot,يقضي ليالٍ بين ظلم وظلمة        طريد الكرى في جوف أغبر مطبق,خوف,حزن
Few-Shot,جمَدَت نَفُوسُهُم فلمًا جئتها أَجْرَيْتها وسَقَيْتها الفولاذ,خوف,غضب
Few-Shot,يَخفِقُ عِندَ نَظْرتهِ فُؤَادي    لأَنَّ سَوادَهُ من مُقلتَيهِ,خوف,فرح
Few-Shot,للاسف المقاس طلع كبير والخامه بتاعته ما كانتش حلوه,حزن,اشمئزاز
Few-Shot,ايه الجمال دا ،  ازاي قدروا يبنوا فندق بالحجم دا,اندهاش,مفاجأة
Few-Shot,مش مصدق انك سافرت مخصوص,اندهاش,مفاجأة
Few-Shot,كارهه نفسي وكل شي مو جالس يصير بالشكل الصحيح,غضب,حزن
Few-Shot,معقول أنت اللي عملت هالشي   لهلأ مو مستوعب,اندهاش,مفاجأة
Few-Shot,الكهربا قطعت بالليل واضطرينا نشغل الشموع.,حزن,خوف
Few-Shot,الما مقطوع من الصباح، ما عرفناش علاش بالضبط.,حزن,غضب
Few-Shot,تصور ديك الكلبه كتسناني عارفه ديك الخميس كتسناني ا فوا كنخرج كنهبط انا ويا من الجامع,اندهاش,فرح
